fold,policy,direct_logical_fit_calls,direct_solver_calls,numerical_continuation_calls,direct_fit_seconds,component_policies,component_logical_fit_calls,component_fit_seconds,shared_fold_wall_seconds,shared_full_command_wall_seconds,shared_process_peak_rss_bytes,origin_count,cache_hit_origins,memory_scope,runtime_scope
fold_2,B1,0,0,0,0.0,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,B2,14500,14500,0,739.5095214967587,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,B3,121,121,0,430.1362334190635,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,A1,14500,14500,0,828.613388799582,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,A2,121,121,0,422.80608687094355,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,A3,0,0,0,0.0,A1+A2,14621,1251.4194756705256,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,A4,14500,14577,77,163.56675907048339,none,0,0.0,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_2,A5,0,0,0,0.0,A1+A2+A4,29121,1414.986234741009,2594.0389249159925,2614.64,645414912,121,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,B0,0,0,0,0.0,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,B1,0,0,0,0.0,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,B2,14040,14040,0,523.9135641515022,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,B3,117,117,0,335.3752453340567,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,A1,14040,14040,0,1040.4565515750874,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,A2,117,117,0,337.8399029991706,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,A3,0,0,0,0.0,A1+A2,14157,1378.296454574258,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,A4,14040,14210,170,212.74333432276035,none,0,0.0,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_3,A5,0,0,0,0.0,A1+A2+A4,28197,1591.0397888970183,2459.212673000002,2481.44,598622208,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,B0,0,0,0,0.0,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,B1,0,0,0,0.0,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,B2,14620,14620,0,890.0131760205113,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,B3,122,122,0,346.7595247519348,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,A1,14620,14620,0,932.0203525582328,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,A2,122,122,0,343.88977716902446,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,A3,0,0,0,0.0,A1+A2,14742,1275.9101297272573,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,A4,14620,14687,67,142.66566807027266,none,0,0.0,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_4,A5,0,0,0,0.0,A1+A2+A4,29362,1418.57579779753,2664.4563549579907,2685.56,682229760,122,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,B0,0,0,0,0.0,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,B1,0,0,0,0.0,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,B2,14260,14260,0,925.792523679891,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,B3,119,119,0,260.09352149793995,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,A1,14260,14260,0,898.8528343583748,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,A2,119,119,0,251.0115184479364,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,A3,0,0,0,0.0,A1+A2,14379,1149.8643528063112,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,A4,14260,14592,332,207.1255527686153,none,0,0.0,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
fold_5,A5,0,0,0,0.0,A1+A2+A4,28639,1356.9899055749265,2550.4325111249927,2571.71,683016192,119,0,"whole fold process, includes every policy; not per-estimator allocation",original fit durations include cache-reused fits; fold loop excludes initial input/features and warmup-boundary discovery; full command wall time includes setup and teardown
